codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
87008,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87007,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
87006,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,COLISÃO COM AVE
87004,BRASIL,EUNÁPOLIS,BA,INCIDENTE GRAVE,-39.55944444,-16.29361111,COLISÃO COM AVE
87003,BRASIL,CAMPINA GRANDE,PB,ACIDENTE,-35.99027778,-71.78333333,OUTROS
87001,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87000,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-51.17111111,-29.99472222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86999,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
86998,BRASIL,PORTO SEGURO,BA,INCIDENTE,-39.07777778,-16.43805556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86997,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.16250000,-22.91000000,COLISÃO COM FAUNA
86996,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.16250000,-22.91000000,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86995,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,COLISÃO COM AVE
86994,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,COLISÃO COM AVE
86993,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
86991,BRASIL,FLORIANÓPOLIS,SC,INCIDENTE,-48.55250000,-27.67027778,COLISÃO COM AVE
86990,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
86989,BRASIL,JOINVILLE,SC,INCIDENTE,-48.79777778,-26.22305556,COLISÃO COM AVE
86988,BRASIL,RONDONÓPOLIS,MT,INCIDENTE,-54.72166667,-16.58805556,COLISÃO COM AVE
86987,BRASIL,GARUVA,SC,INCIDENTE GRAVE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86986,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,CONTATO ANORMAL COM A PISTA |
86985,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86984,BRASIL,PARAGOMINAS,PA,ACIDENTE,-47.97222222,-34.03611111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86983,BRASIL,CABO FRIO,RJ,INCIDENTE,-42.07138889,-22.92083333,EXCURSÃO DE PISTA
86981,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,COLISÃO COM AVE
86980,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86979,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
86978,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
86977,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-51.17111111,-29.99472222,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86976,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-51.17111111,-29.99472222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86975,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86974,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86973,BRASIL,NAVEGANTES,SC,INCIDENTE,-48.65083333,-26.87861111,CORTANTE DE VENTO / TEMPESTADE
86972,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
86971,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86969,BRASIL,FLORIANÓPOLIS,SC,INCIDENTE,-48.55250000,-27.67027778,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86968,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,INDETERMINADO
86967,BRASIL,SANTA MARIA,RS,INCIDENTE,-53.69222222,-29.71083333,COLISÃO COM AVE
86966,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,INDETERMINADO
86965,BRASIL,NAVEGANTES,SC,INCIDENTE,-48.65083333,-26.87861111,COLISÃO COM AVE
86964,BRASIL,VITÓRIA,ES,INCIDENTE,-40.28638889,-20.25805556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
86962,BRASIL,CAMPINAS,SP,INCIDENTE,-50.42638889,-21.14416667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86960,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,COLISÃO COM AVE
86959,BRASIL,SÃO PAULO,SP,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
86958,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,COLISÃO COM AVE
86956,BRASIL,BOTUCATU,SP,ACIDENTE,-48.46805556,-22.93777778,COLISÃO COM AVE
86954,BRASIL,TUPANCIRETÃ,RS,ACIDENTE,-53.86555556,-29.08555569,COLISÃO COM AVE
86953,BRASIL,PILAR,AL,ACIDENTE,-35.96972222,,COLISÃO COM AVE
