aeronave_matricula;aeronave_modelo;aeronave_voo_origem;aeronave_voo_destino;fk_Fabricante_Nome
PTTAW;EMB-110P1;EST�NCIA H�RCULES;BACACHERI;EMBRAER
PRMOG;200;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PPMLR;A109E;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PPEOD;AS 350 B2;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PTEVE;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRSGO;150M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRAGE;PA-46-500TP;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRAVA;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTMVU;A330-223;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS INDUSTRIE
PRPAB;550 BRAVO;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
FGSPV;777-222;FORA DE AERODROMO;FORA DE AERODROMO;BOEING COMPANY
PTMZV;A320-232;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS INDUSTRIE
PTHUJ;412;FORA DE AERODROMO;FORA DE AERODROMO;BELL HELICOPTER
PRLLJ;SR22;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS DESIGN
PPCGR;A109S;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PRMHI;A320-214;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
CCCZT;767-316F;FORA DE AERODROMO;FORA DE AERODROMO;BOEING COMPANY
9VSWS;777-32WER;FORA DE AERODROMO;FORA DE AERODROMO;BOEING COMPANY
PRWMM;R182;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
DABVE;747-341;FORA DE AERODROMO;FORA DE AERODROMO;BOEING COMPANY
PRAYY;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTVLA;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA INDUSTRIA AERONAUTICA
PTODH;C90A;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTVTG;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRCHL;S-76A;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY AIRCRAFT
PTPOI;SZD-48-3;FORA DE AERODROMO;FORA DE AERODROMO;PZL-BIELSKO
PTDJF;150K;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTJPY;95-C55;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTUDY;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA INDUSTRIA AERONAUTICA
PPWRS;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRPPT;AW119MKII;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PPHGB;CAP-4;FORA DE AERODROMO;FORA DE AERODROMO;CIA AERONAUTICA PAULISTA
PPDLF;CAP-4;FORA DE AERODROMO;FORA DE AERODROMO;CIA AERONAUTICA PAULISTA
PTMVN;A330-223;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS INDUSTRIE
PPHRE;56-C-1;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRMEM;AS 365 N3;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER FRANCE
PTNSF;EMB-711B;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTZMY;EXCEL;FORA DE AERODROMO;FORA DE AERODROMO;MARCELO FERNANDES
PPGGG;AB-115;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PPOSP;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTTMD;A319-132;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PTPIW;SZD-48-1;FORA DE AERODROMO;FORA DE AERODROMO;PZL-BIELSKO
PTUEQ;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRMYM;A319-112;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
N9285R;PA-32R-301;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRMBL;A320-233;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS INDUSTRIE
PRDCA;AMT-600;FORA DE AERODROMO;FORA DE AERODROMO;AEROMOT
PTMVU;A330-223;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS INDUSTRIE
PPWJB;G-IV;FORA DE AERODROMO;FORA DE AERODROMO;GULFSTREAM AEROSPACE
PROAN;EMB-120RT;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTKOL;150M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTNVL;EMB-712;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA INDUSTRIA AERONAUTICA
PTRQK;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTEFY;EMB-820C NAVAJO;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRPLL;EC 225 LP;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER FRANCE
PTJDF;182P;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
N76062;B767-300;FORA DE AERODROMO;FORA DE AERODROMO;BOEING COMPANY
PRTTE;ATR-42-300;FORA DE AERODROMO;FORA DE AERODROMO;AEROSPATIALE AND ALENIA
PRAZZ;ATR-72-202;FORA DE AERODROMO;FORA DE AERODROMO;AEROSPATIALE AND ALENIA
PRSCJ;58;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRLSM;210M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTHZB;BK 117 C-1;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER DEUTSCHLAND
PRFRB;B200;FORA DE AERODROMO;FORA DE AERODROMO;RAYTHEON AIRCRAFT
PRLCH;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PPLNL;C90A;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRCVC;525B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRHE;EMB-711T;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRNCO;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRCHI;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PTUNZ;EMB-202;BEBEDOURO;BEBEDOURO;NEIVA INDUSTRIA AERONAUTICA
PTION;177B;AEROCLUBE DE SANTA CATARINA;AEROCLUBE DE SANTA CATARINA;CESSNA AIRCRAFT
PPPTD;ATR-42-320;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;AEROSPATIALE AND ALENIA
PTVRQ;EMB-810D;Comandante Rolim Adolfo Amaro;ESTADUAL DARIO GUARITA;NEIVA INDUSTRIA AERONAUTICA
PUKFV;AGUIA V;ERECHIM;BEL�M NOVO;FRANCISCO E.D.
PRGIV;737-86N;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PTCHT;PA-30;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRMPO;ATR-42-320;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRGUR;737-8HX;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRPDB;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAFA;560XLS+;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTEBZ;EMB-720C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRMPT;R44 II;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PRSKG;172S;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRATH;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRBAK;B200GT;FORA DE AERODROMO;FORA DE AERODROMO;HAWKER BEECHCRAFT
PUUMG;CONQUEST 180;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTGOB;EMB-201;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PUWMW;KF-IV;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTBVC;172D;BARRA DO BUGRES;BARRA DO BUGRES;CESSNA AIRCRAFT
PPGCL;AB-180;BEBEDOURO;BEBEDOURO;AERO BOERO
PRHSC;AS 350 B2;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PRAXI;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRPDJ;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTRMI;EMB-500;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRPDK;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTBKU;150J;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRTV;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PURIK;ORION CLIPPER;FORA DE AERODROMO;FORA DE AERODROMO;ORION LTDA
PTZLT;P64B;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PRPDK;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTDVF;U206E;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTEFX;EMB-820C CARAJA;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PREJQ;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRATR;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTMJC;525;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRUO;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTEUK;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTRFY;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRFLD;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPDSZ;170;PINTO MARTINS;URUBA;CESSNA AIRCRAFT
PTUUU;A150M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRROD;510;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPDUR;G58;ERECHIM;FAZENDA DA PAZ;RAYTHEON AIRCRAFT
PRZMZ;RV-10;FORA DE AERODROMO;FORA DE AERODROMO;FLYER INDUSTRIA AERONAUTICA LTDA
PPFAZ;AB-115;MONTENEGRO;MONTENEGRO;AERO BOERO
PTOAI;A36;PRESIDENTE PRUDENTE;FAZENDA JAGUARET�;BEECH AIRCRAFT
PTWRU;208 ANFIBIO;EDUARDO GOMES;FORA DE AERODROMO;CESSNA AIRCRAFT
PTNKG;EMB-711C;S�O PEDRO;IJU�;NEIVA
PPFLU;AB-180;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PTPJX;KW1;CARLOS RUHL;CARLOS RUHL;(IPAE) IND�STRIA PARANAENSE DE ESTRUTURAS
CXJYN;402B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTESM;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRAQF;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAYN;ERJ 190-200 LR;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRTKA;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTVIY;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTVJC;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
CSTOJ;A330-223;VAL DE CANS / J�LIO CEZAR RIBEIRO;AEROPORTO HUMBERTO DELGADO;AIRBUS
PPZDG;RV-10;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTRUB;EMB-810D;ATLAS BRASIL CANTANHEDE;FLORES;NEIVA
PRTBE;PA-36-375;IVA� AEROAGR�COLA;JOS� MARTINS DA SILVA;PIPER AIRCRAFT
PROAM;F28MK0100;FORA DE AERODROMO;FORA DE AERODROMO;FOKKER
PRPDJ;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAYU;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPPTX;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRIOC;727-264;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPRAA;560XL;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPPTY;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PPPTX;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTNUM;EMB-712;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPPTZ;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRATU;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTDBM;PA-31;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTLFO;EMB-820C NAVAJO;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRTKD;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PPPTQ;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PPFLD;AB-115;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PRMBZ;A320-232;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PTLQS;C90;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTZVR;RV7A;FORA DE AERODROMO;FORA DE AERODROMO;ASTRO TOYS COM. DE BRINQ. LTDA
PPEID;AS 350 BA;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PRGUG;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRRUS;MI-171A1;FORA DE AERODROMO;FORA DE AERODROMO;MIL HELICOPTER
PTJJY;310Q;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRMRN;695A;FORA DE AERODROMO;FORA DE AERODROMO;TWIN COMMANDER
PUFFE;REMOS G3-600;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PPPIM;525;SANTA GENOVEVA/GOI�NIA;FAZENDA EUROPA;CESSNA AIRCRAFT
PTEZW;EMB-810C;ARARAS;ESTADUAL ARTHUR SIQUEIRA;EMBRAER
PTLAO;PA-28-235;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTIZV;PA-28-140;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;PIPER AIRCRAFT
PTUIQ;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPGCW;AB-180;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PRONL;A320-214;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRTKE;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTVHV;EMB-712;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PREJV;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRCY;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTOQT;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRDVD;SR22;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS
PTWGF;35A;FORA DE AERODROMO;FORA DE AERODROMO;LEARJET
PRKLG;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRMX;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPPTU;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRPDC;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTVQV;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRABV;525;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRBZE;PC-12/45;FORA DE AERODROMO;FORA DE AERODROMO;PILATUS
CSTON;A330-202;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PPPJL;ERJ 190-100 LR;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRGGF;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPPTV;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRATV;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTMZX;A320-232;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PTLSJ;35A;FORA DE AERODROMO;FORA DE AERODROMO;LEARJET
PRVBF;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRMAA;A320-232;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRAXN;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRXZB;310R;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTWHT;210N;FAZENDA RIO AZUL;POUSADA AMAZ�NIA FISHING LODGE;CESSNA AIRCRAFT
PTLNG;PA-31T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTWMM;58;JATA�;SANTA GENOVEVA/GOI�NIA;BEECH AIRCRAFT
PTGXF;EMB-201A;CARAZINHO;FORA DE AERODROMO;NEIVA
PPEPV;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTJJR;ST-10;SOROCABA;ITANHA�M;SOCATA
PRHFC;AS 355 N;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PTJRS;402B;ADALBERTO MENDES DA SILVA;PATROC�NIO;CESSNA AIRCRAFT
PRSTJ;1124A;FORA DE AERODROMO;FORA DE AERODROMO;ISRAEL AIRCRAFT
PPGSG;AB-115;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PPXEX;LANCAIR 320 FB;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PPZZZ;RANS S-10-AVIAO;FORA DE AERODROMO;FORA DE AERODROMO;FABRICACAO PROPRIA
PUPFU;RANS S6ESCOIOTE;FORA DE AERODROMO;FORA DE AERODROMO;FLYER
PURDI;EXCEL CARGO;FORA DE AERODROMO;FORA DE AERODROMO;ROBSON DIAS LIMA
PUXXX1;ULTRALEVE;FORA DE AERODROMO;FORA DE AERODROMO;MAULE AIRCRAFT
PUURA;MCC VENTURA;FORA DE AERODROMO;FORA DE AERODROMO;MARIO CARLOS CARDOSO
PTZHU;PITTSS15 AVIAO;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTZRP;S2A;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTEFL;EMB-721C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PUAZS;TL-96 STAR;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PRZNP;PITTS SPECIAL;FORA DE AERODROMO;FORA DE AERODROMO;ROBERT MOHR
PRZAL;EXPLORER;FORA DE AERODROMO;FORA DE AERODROMO;(INPAER) IND�STRIA PAULISTA DE AERON�UTICA
PREJF;A188B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRTB;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTYJJ;AS 350 BA;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PRTKB;ATR-42-500;PORTO URUCU;EDUARDO GOMES;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRJAC;R44;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTAGS;140A;CACHOEIRA DO SUL;CACHOEIRA DO SUL;CESSNA AIRCRAFT
PTSNI;182Q;EST�NCIA H�RCULES;EST�NCIA H�RCULES;CESSNA AIRCRAFT
PTUNB;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTDRY;177RG;CLUBE DE VOO ITAIPU;BACACHERI;CESSNA AIRCRAFT
PRVDN;429;FORA DE AERODROMO;FORA DE AERODROMO;BELL HELICOPTER
PROTK;PC-12;FORA DE AERODROMO;FORA DE AERODROMO;PILATUS
PTMTT;727-243;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPPTO;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTNVB;EMB-712;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTMTT;727-243;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PTEOS;EMB-720C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRPDD;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTHVM;R22;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTIDP;310Q;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRCCM;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTNKU;EMB-711C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRBGM;S-92A;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PRTKA;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRRJV;G36;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRIOG;727-214F;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRCCA;EA500;FORA DE AERODROMO;FORA DE AERODROMO;ECLIPSE AEROSPACE
PRAXJ;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PROAI;F28MK0100;FORA DE AERODROMO;FORA DE AERODROMO;FOKKER
PRIOC;727-264;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRJAJ;EMB-500;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTVGV;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRSDL;737-3S3;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPMEL;SR22;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS
PRHFE;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTHAX;R22;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTLHH;MU-2B-60;FORA DE AERODROMO;FORA DE AERODROMO;MITSUBISHI AIRCRAFT
PRTKD;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTWJS;400A;FORA DE AERODROMO;FORA DE AERODROMO;RAYTHEON AIRCRAFT
PRTTK;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRATE;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRBIA;A109S;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PRGOY;737-7K9;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRATB;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTHLA;HB-350B;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PTTIC;P.180;FORA DE AERODROMO;FORA DE AERODROMO;PIAGGIO AERO INDUSTRIES
PTIZI;182P;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTHLA;HB-350B;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PRTAH;PA-42-720;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTWHV;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPPTX;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRWSM;FALCON 2000;FORA DE AERODROMO;FORA DE AERODROMO;DASSAULT
PRGPJ;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTEUR;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTWPZ;58;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRCCM;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTKBV;182P;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
N901AR;747-4R7F;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPJAG;B200GT;FORA DE AERODROMO;FORA DE AERODROMO;HAWKER BEECHCRAFT
PRAZF;ERJ 190-100 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRJMS;AMT-600;FORA DE AERODROMO;FORA DE AERODROMO;AEROMOT
PTMTT;727-243;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PTLLH;B60;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRGXJ;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRLDT;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PTUZL;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPNIV;EMB-500;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTVSN;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTKLG;A150M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRAFB;58;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTOBL;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPKGN;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PPJBP;C90GTI;FORA DE AERODROMO;FORA DE AERODROMO;HAWKER BEECHCRAFT
PRLCH;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
