codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
83602,BRASIL,CASCAVEL,PR,INCIDENTE,-5350194444444,-2500222222222,COLISÃO COM AVE
83601,BRASIL,PALMAS,TO,INCIDENTE,-4835777777777,-10.29,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83600,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83599,BRASIL,SÃO GONÇALO DO AMARANTE,RN,INCIDENTE,-3536638888888,-5768888888888,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83598,BRASIL,BELÉM,PA,INCIDENTE,-4847888888888,-1384722222222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83597,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83596,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83595,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83594,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83593,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,PERDA DE CONTROLE EM VOO
83592,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83590,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83589,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-431625,-22.91,COLISÃO COM AVE
83588,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83587,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83586,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83585,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM FAUNA
83584,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,COLISÃO COM AVE
83583,BRASIL,ILHÉUS,BA,INCIDENTE,-3903333333333,-14815,COLISÃO COM FAUNA
83582,BRASIL,SÃO PAULO,SP,INCIDENTE,-466375,-2350916666666,COLISÃO COM AVE
83581,BRASIL,BELO HORIZONTE,MG,INCIDENTE,-4395055555555,-1985194444444,COLISÃO COM FAUNA
83580,BRASIL,MARINGÁ,PR,INCIDENTE,-5201777777777,-2347638888888,COLISÃO COM AVE
83579,BRASIL,ALTA FLORESTA,MT,INCIDENTE,-56105,-9866388888888,COLISÃO COM AVE
83578,BRASIL,CURITIBA,PR,INCIDENTE,-4923361111111,-2540333333333,COLISÃO COM FAUNA
83577,BRASIL,MACEIÓ,AL,INCIDENTE,-3579166666666,-9510833333333,COLISÃO COM AVE
83576,BRASIL,JOINVILLE,SC,INCIDENTE,-4879777777777,-2622305555555,COLISÃO COM FAUNA
83575,BRASIL,ILHÉUS,BA,INCIDENTE,-3903333333333,-14815,COLISÃO COM AVE
83574,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM FAUNA
83573,BRASIL,SÃO PAULO,SP,INCIDENTE,-4665638888888,-2362611111111,COLISÃO COM AVE
83572,BRASIL,JOÃO PESSOA,PB,INCIDENTE,-3495027777777,-7148333333333,COLISÃO COM AVE
83571,BRASIL,UBERLÂNDIA,MG,INCIDENTE,-4822527777777,-1888361111111,COLISÃO COM AVE
83570,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83569,BRASIL,NOVA XAVANTINA,MT,INCIDENTE GRAVE,-5238472222222,-14675,COLISÃO COM AVE
83567,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
83566,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2338555555555,COLISÃO COM AVE
83565,BRASIL,MAÇAMBARÁ,RS,ACIDENTE,-5575472222222,-2929555555555,COLISÃO COM AVE
83564,BRASIL,ITIQUIRA,MT,INCIDENTE GRAVE,-5429694444444,-1728333333333,COLISÃO COM AVE
83563,BRASIL,GOIANÉSIA DO PARÁ,PA,ACIDENTE,-4944666666666,-4427777777777,COLISÃO COM AVE
83562,BRASIL,BARUERI,SP,ACIDENTE,-4688305555555,-2348083333333,COLISÃO COM AVE
